instance_id,resolution_status,resolved,f2p,p2p,repo
astropy__astropy-12907,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-13033,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-13236,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-13398,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-13453,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-13579,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-13977,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14096,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14182,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14309,RESOLVED_FULL,TRUE,1/1,141/141,astropy
astropy__astropy-14365,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14369,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14508,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14539,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14598,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-7166,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-7336,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-7606,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-7671,RESOLVED_FULL,TRUE,1/1,3/3,astropy
astropy__astropy-8707,NO_TASK,FALSE,N/A,N/A,astropy
astropy__astropy-8872,NO_TASK,FALSE,N/A,N/A,astropy
django__django-10097,TASK_FAILED,FALSE,N/A,N/A,django
django__django-10554,TASK_FAILED,FALSE,N/A,N/A,django
django__django-10914,RESOLVED_FULL,TRUE,1/1,98/98,django
django__django-10973,RESOLVED_FULL,TRUE,5/5,0/0,django
django__django-10999,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11066,RESOLVED_FULL,TRUE,1/1,3/3,django
django__django-11087,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11095,RESOLVED_FULL,TRUE,1/1,19/19,django
django__django-11099,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11119,RESOLVED_FULL,TRUE,1/1,7/7,django
django__django-11133,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11138,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11141,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11149,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11179,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11206,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11211,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11239,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11265,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11276,RESOLVED_FULL,TRUE,26/26,548/548,django
django__django-11299,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11333,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11400,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11451,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11477,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11490,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11532,RESOLVED_FULL,TRUE,1/1,148/148,django
django__django-11551,RESOLVED_FULL,TRUE,1/1,119/119,django
django__django-11555,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11603,RESOLVED_FULL,TRUE,2/2,58/58,django
django__django-11728,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11734,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11749,RESOLVED_FULL,TRUE,1/1,34/34,django
